probeset,hgnc
49289_s_at,THOC7
49293_s_at,RREB1
49295_f_at,MIR142
49304_r_at,FAM65A
49307_s_at,EPB41
49310_s_at,TMEM200B
49311_r_at,UBR5
49319_s_at,EXOSC3
49324_s_at,KANSL1L
49326_at,IRF2BP2
49329_at,KLHL22
49331_at,ZNF224
49336_s_at,CDC42SE1
49338_at,C1orf56
49352_at,CCDC126
49354_at,VDAC1
49358_at,USP13
49381_at,TANK
49382_at,WWC3
49384_at,WTIP
49386_at,TIMM22
49391_at,SLC9A8
49404_at,ST6GALNAC3
49409_i_at,RNF126P1
49414_f_at,RNF126P1
49418_at,LINC00312
49424_at,ANKRD37
49435_at,MSH5
49443_at,TBX5
49453_at,C10orf115
49468_at,HSD17B12
49484_at,NAV2-AS4
49505_at,AGBL5-AS1
49511_r_at,SPRED1
49515_at,LYST
49522_at,PRRC1
49524_at,AMMECR1
49529_at,TEPP
49538_at,NTNG1
49552_at,GLIS3
49565_at,DMRT3
49566_at,ENOPH1
49569_at,ZCCHC2
49576_f_at,NDUFC2-KCTD14///NDUFC2
49578_s_at,ZNF497
49579_at,PPP2R2C
49580_at,RNF34
49581_g_at,RNF34
49584_f_at,TAOK1
49585_at,RP9P///RP9
49587_at,GON4L
49589_g_at,GON4L
49591_at,MSTO2P///MSTO1
49593_at,GFAP
49596_g_at,GFAP
49599_at,SEMA6D
49600_at,USP42
49602_at,C16orf72
49605_g_at,C16orf72
49607_at,C9orf37
49610_g_at,C9orf37
49611_at,SLC7A1
49617_at,DDX51
49622_at,PPP1R3F
49624_at,AGAP3
49628_at,MYBBP1A
49633_at,HES6
49640_s_at,METTL9
49649_at,PTPMT1
49651_at,FOXO3
49664_s_at,C11orf96
49671_at,MALAT1
49673_at,ZNF692
49677_g_at,ZNF692
49679_s_at,MMP24-AS1
49686_s_at,VAMP8
49688_at,ZRANB1
49690_at,ISYNA1
49695_i_at,RNF169
49697_f_at,RNF169
49698_at,HCN3
49700_at,SLC2A4RG
49702_g_at,SLC2A4RG
49704_s_at,ZBTB46
49706_r_at,LGALS8
49728_s_at,CERCAM
49730_at,EFNA5
49736_g_at,TAF6L
49744_at,TMEM165
49746_at,FAM177A1
49749_at,UBXN6
49751_at,ARL6IP6
49754_s_at,SFT2D1
49756_at,MTFP1
49764_g_at,MTFP1
49765_at,NAV2-AS1
49767_g_at,NAV2-AS1
49769_at,SGTB
49771_s_at,TRAPPC13
49774_r_at,TRAPPC13
49777_at,FAM46A
49779_at,CSRP2BP///PET117
49791_s_at,CAMK2N2
49794_s_at,ECE2
49796_at,NRIP3
49798_at,DOCK6
49807_at,SLC2A2
49809_s_at,RWDD2B
49811_s_at,SLC25A37
49813_at,CRLS1
49814_at,PLGLB1
49821_s_at,HRASLS
49825_at,AKAP12
49827_s_at,FAM69B
49831_at,PIK3R5
49833_at,SLMO2
49845_at,GPR12
49861_at,RRP15
49877_at,FTO-IT1
49889_at,DLC1
49897_at,ZFC3H1
49917_at,ZNF827
49919_at,USP53
49923_at,HELZ
49924_at,USB1
49926_at,DNAH14
49934_at,ATP1B3
49938_at,SLC35E1
49956_at,AEBP2
49958_at,KIF13A
49960_at,KCNQ1OT1
49966_at,TRPC5
49983_r_at,PRR3
49999_at,ANKRD18DP
50000_at,KRT82
50002_at,THY1
50006_at,SNX25
50015_at,PSMD13
50025_at,HIST1H4H
50035_at,ST8SIA1
50046_at,BRWD3
50048_at,CD28
50050_at,ZNF423
50056_at,PTCHD1
50058_at,CPED1
50062_at,UQCRB
50080_at,SLC9B2
50082_at,MSI2
50084_at,DYNC1H1
50090_at,CRELD1
50101_f_at,CLN6
50104_at,MED26
50109_at,SNX14
50111_r_at,ZDHHC22
50123_at,MTPAP
50127_g_at,MTPAP
50144_at,ANAPC7
50150_s_at,WDR4
50152_s_at,B3GNT9
50153_at,ZBTB26
50156_at,NXF3
50160_at,KCTD5
50164_at,CPSF3L
50170_s_at,SRGAP2C///SRGAP2
50171_s_at,DDX54
50175_s_at,CCDC42B
50178_at,SAPCD1-AS1
50181_g_at,SAPCD1-AS1
50183_at,MSH5///MSH5-SAPCD1///SAPCD1
50186_s_at,MUM1
50199_s_at,RGCC
50202_s_at,TMEM140
50204_at,KANK4
50206_at,C3orf17
50208_at,C1orf56
50215_g_at,C1orf56
50217_at,CDC42SE1
50222_at,RAD23A
50224_s_at,TIMM22
50225_s_at,YPEL2
50226_at,SLC33A1
50227_s_at,FOXH1
50232_at,SAMD1
50234_r_at,MLXIPL
50236_at,MRPL35
50241_at,PAX8
50270_at,ZNF493
50272_at,GABRB3
50286_at,DCC
50304_at,RGSL1
50310_at,PARP8
50342_at,LINC00705
50345_at,B4GALNT3
50348_at,FAM110B
50351_at,CCDC79
50369_at,TNRC18
50384_s_at,PHF20
50386_at,CEP95
50399_at,NCS1
50410_at,FAM105B
50412_at,E2F6
50416_at,NBR1
50422_at,FAM229B
50456_at,C6orf132
50462_at,ERI1
50469_at,MYO9A
50488_at,KLHL18
50490_at,VAT1L
50505_at,PRDM5
50508_at,HFE
50510_at,COL13A1
50518_at,GEN1
50528_at,FAM9B
50546_at,CAND1
50549_r_at,CAST
50569_at,TTC28-AS1
50572_at,SMAD9
50590_at,IGHG1
50608_r_at,RBM12
50621_f_at,ZNF626
50623_r_at,ZNF626
50645_at,RGMB
50651_at,GPATCH2
50654_at,NAP1L4
50708_at,C14orf1
50781_at,INPP5F
50788_at,NRXN1
50812_at,TCTE3
50834_at,RELL1
50846_at,ACSL3
50869_at,ANKRD34A
50881_at,ZNF148
50883_at,CDK19
50885_at,ZNF585B
50887_at,VGLL3
50904_g_at,USP8
50906_at,TUBBP5
50912_at,SH3TC2
50917_s_at,MRPS10
50923_at,FAM177A1
50924_at,NR2C2AP
50926_s_at,FA2H
50938_at,PPP1R14A
50940_at,DAZAP1
50942_at,DAGLB
50944_g_at,DAGLB
50947_s_at,CCDC136
50950_at,SAP18
50951_at,DCLRE1C
50958_s_at,MYO15B
50959_at,CENPB
50961_at,RPS23P8///RPS23
50973_s_at,IP6K2
50975_s_at,SCML1///SCML2
50977_i_at,SCML1
50983_at,TM9SF1
50985_at,GCSAML-AS1
50988_at,TOX4
50990_at,GPRC5B
50993_s_at,MRPL10
50996_s_at,NMRAL1
51002_s_at,PLIN3
51005_s_at,ILKAP
51006_s_at,TP53I13
51007_at,DNALI1
51008_f_at,TMSB4XP1///TMSB4XP8///TMSB4XP6///TMSB4X///TMSB4XP2///TMSB4XP4
51009_at,TES
51011_s_at,ZBTB46
51012_at,PLAC9
51016_s_at,PSAT1
51025_at,BCL2L10
51029_at,HECTD2
51031_at,SERP1
51035_f_at,PAQR6
51046_at,GCM1
51047_s_at,CRIPT
51051_s_at,THAP3
51056_at,PPP1R12C
51059_at,SMAD3
51061_at,MPRIP
51063_at,BIVM
51069_s_at,NUP107
51072_at,SPRYD3
51073_at,SNX12
51075_at,PANX1
51077_s_at,RPRM
51079_at,ABCA7
51082_r_at,MDFIC
51084_at,SAE1
51095_f_at,SCAND1
51097_at,CLCN2
51098_at,TTC17
51099_s_at,NCOA5
51100_at,TTC19
51101_f_at,AGPAT6
51103_s_at,SPESP1
51107_s_at,PLEKHH3
51109_at,MTRF1L
51111_at,PHEX-AS1
51113_at,GALNT1
51116_g_at,GALNT1
51120_at,FBXO8
51127_at,LUZP1
51129_s_at,VIL1
51131_at,UGCG
51135_f_at,TMEM119
51136_at,IL1RAP
51138_at,MEG3
51151_i_at,NBPF10
51152_f_at,NBPF9///NBPF10///NBPF11///NBPF12///NBPF24///NBPF14///NBPF20///NBPF15///NBPF16
51157_at,RAPGEF1
51159_f_at,RNF126
51166_f_at,PPP2R3B
51170_at,PPAPDC2
51189_at,ABCG8
51219_at,TXNDC16
51233_at,POLR1A
51241_r_at,ZNF704
51272_at,COL21A1
51273_at,UTP15
51277_at,CORO7-PAM16///CORO7
51279_at,FAM47A
51292_at,TEKT5
51294_at,RFX4
51298_at,LGALS16
51301_at,HSPA12B
51317_at,MED13L
51340_at,LINC00411
51359_at,LINC00521
51367_at,DAB2
51368_at,PSMA8
51372_at,C9orf173
51378_at,TEX35
51383_at,TBX4
51391_at,LINC00240
51411_at,MTHFD1L
51413_at,STARD6
51421_at,KCNJ14
51451_f_at,ZNF655
51477_at,INTS6-AS1
51479_at,SLC7A11-AS1
51480_at,TMEM132B
51490_at,HHIPL2
51507_at,HCFC2
51514_at,P4HA2-AS1
51579_at,KCNJ16
51587_at,INSC
51594_at,ATPBD4
51599_at,C5orf34
51617_at,GEMIN2
51668_s_at,HSBP1L1
51678_at,MKRN1
51680_at,CALM1
51682_s_at,ITM2B
51684_at,PHF20
51688_at,MCPH1
51695_s_at,SLC39A13
51704_r_at,SREK1IP1
51706_at,NEFL
51708_at,TP73-AS1
51711_s_at,KDM2B
51716_r_at,C5
51719_at,MAGED2
51720_r_at,PAPOLA
51723_s_at,DDX20
51727_f_at,THAP7
51728_at,LGMN
51731_at,FAM84A
51735_s_at,DAB2IP
51737_at,TRABD
51740_r_at,GALNT1
51746_f_at,ACTG1
51748_at,SNX9
51750_s_at,TMPO
51751_s_at,NUDT22///DNAJC4
51754_f_at,FPR3
51758_s_at,CYSTM1
51760_s_at,NADSYN1
51763_at,NADSYN1
51765_at,TYW1B///TYW1
51769_at,SH3BGRL3
51776_s_at,PDZK1IP1
51778_at,ZCCHC3
51780_at,ENSA
51781_at,TTI2
51785_s_at,PYROXD2
51786_at,VTA1
51787_g_at,VTA1
51788_at,PSMD1
51789_s_at,BRD3
51790_at,TRDN
51793_s_at,NDUFA4
51798_at,TMEM140
51803_g_at,TMEM140
51808_at,RSL1D1
51810_at,ERMN
51812_at,KCTD15
51815_at,TERF1
51825_r_at,BMPR2
51834_f_at,TMSB10
51836_s_at,FLYWCH2
51843_f_at,YME1L1
51850_s_at,HNRNPL
51851_r_at,PLSCR4
51855_at,TBRG4
51858_s_at,PLEKHB2
51863_at,CCBP2
51877_at,SNORD114-2
51884_s_at,SNORD114-2
51886_at,TMEM221
51890_at,STXBP5L
51897_at,BRWD1
51898_r_at,PCDHB15
51901_r_at,KCNT2
51905_at,MFSD4
51917_at,B4GALNT1
51918_at,GABRP
51924_at,LNPEP
51933_at,ZIC4
51934_at,ACER3
51936_at,ANKRD29
51940_at,ADRBK2
51941_at,MMAA
51959_at,FAM183B
51967_at,LUZP2
51983_at,NUP155
51985_at,ARID5B
51987_at,CADM1
52006_at,TRAV3
52013_at,CHID1
52015_at,AGPAT3
52024_at,AADACL2
52028_at,RPL4
52033_r_at,FAM71D
52048_at,DAP3
52050_at,ADAM23
52052_at,NRBF2P2
52084_at,BEND5
52093_at,CPHL1P
52095_at,FTCD-AS1
52101_r_at,BMP2K
52127_r_at,ARHGEF38-IT1
52129_at,C5orf52
52130_at,MACC1-AS1
52133_g_at,MACC1-AS1
52141_at,NEK10
52154_at,NDUFV3
52155_at,LINC00454
52156_at,RAB28
52162_f_at,MATR3
52168_r_at,MATR3
52172_at,XPNPEP1
52181_at,CCDC132
52185_at,MAPK9
52189_s_at,VNN1
52192_r_at,VNN1
52197_at,CETN1
52198_at,NUP210P1
52201_at,TMPRSS12
52206_at,FAM204A
52225_at,CCDC27
52237_at,SPIN1
52243_at,PCDH9-AS2
52245_at,KIAA1328
52252_i_at,LRRCC1
52254_r_at,LRRCC1
52265_at,VWC2L-IT1
52286_at,INTS6
52288_at,ST7-AS2
52306_at,CADPS
52321_at,ADTRP
52332_at,C9orf171
52359_at,USP40
52367_at,MED12L
52375_at,CCDC102B
52409_at,C10orf118
52410_at,C12orf56
52411_at,ZNF449
52413_at,ZDBF2
52414_at,TRMT1L
52416_at,SVEP1
52421_at,SPOPL
52424_r_at,PVRL3
52427_at,IPMK
52428_at,DDI2///RSC1A1
52429_at,LFNG
52440_at,CNTN2
52442_at,CELF5
52448_at,TBC1D9B
52450_at,ARMCX3
52459_at,SPTBN4
52463_at,TMEM130
52465_at,CDON
52466_at,ZNF707
52468_i_at,SLCO4A1
52469_r_at,SLCO4A1
52493_at,PPHLN1
52503_at,N4BP2
52505_at,APLF
52526_at,COPS8
52532_r_at,FAM192A
52534_at,TMEM220
52535_s_at,CDKN1B
52538_at,UGGT1
52543_at,FOXA3
52544_at,SOGA3///KIAA0408
52546_at,INTS8
52560_r_at,TBCA
52565_at,SLC5A9
52581_r_at,BPIFB4
52584_at,XPO7
52589_at,ETFA
52591_s_at,GCLC
52592_r_at,GCLC
52593_r_at,ADAM22
52594_at,ENGASE
52597_at,MCM4
52599_at,ZSCAN29
52600_at,GPR75
52606_at,NLGN1
52608_at,GAS2L3
52617_at,GPATCH2
52623_at,CCDC179
52627_at,FAM3C
52629_at,ASPM
52644_at,GPATCH1
52647_at,LRRC3DN
52650_at,COL4A6
52671_at,CAPRIN1
52682_at,GLRB
52686_at,BNIP1
52688_at,EPHA8
52703_at,CROCCP2
52707_at,RASGRP3
52710_at,CNOT4
52730_at,MCC
52736_f_at,AMN
52751_r_at,CSMD3
52754_at,MTL5
52756_at,GPC4
52765_at,SPEF2
52769_at,POLR2A
52772_at,MOBP
52775_at,CACNA1A
52790_at,LCA5L
52812_at,BROX
52815_at,UBN1
52817_at,SPG11
52830_at,FBN1
52836_at,ZRANB3
52843_at,FAM19A3
52854_at,ACTN1-AS1
52862_r_at,TMEM50B
52863_at,SGCB
52871_at,BPTF
52873_at,ZNF385D
52923_at,EFCAB13
52942_at,DCDC5
52944_at,CDC14A
52969_at,ESPNL
52972_at,PTPRQ
52982_at,APPL1
52984_at,C1orf137
52989_at,FAP
53014_at,SLC25A36
53029_at,HPRT1
53030_at,LINC00111
53043_at,C11orf73
53045_at,DCDC5
53088_at,SART3
53090_at,MAGI2-IT1
53101_at,MAP9
53105_at,MIER1
53107_at,ZFYVE16
53109_at,MLL5
53112_at,SNX25
53115_at,FIGN
53119_at,TRAF3IP1
53127_at,TEFM
53131_at,CANX
53134_at,CCDC88A
53138_at,SMIM13
53143_at,ADAM22
53144_at,STEAP4
53145_at,USP48
53147_at,ZNF461
53152_at,UEVLD
53154_at,FGF9
53158_at,ARMC2
53164_at,CREBRF
53165_at,MXI1
53173_at,RASSF6
53178_at,PPFIA2
53181_at,NPAS3
53189_s_at,RBM18
53191_r_at,RBM18
53192_at,SREK1IP1
53193_at,FAM47E
53199_g_at,NRIP3
53206_r_at,NRIP3
53208_f_at,NUDT6
53210_r_at,NUDT6
53213_at,NUDT6
53215_at,IL17RA
53218_at,DNAJC18
53220_at,LIMD1-AS1
53226_r_at,METTL15
53228_at,BNC2
53230_at,SLC36A4
53232_at,RCOR3
53233_at,TMLHE
53234_at,ATAD1
53235_at,DROSHA
53236_at,CHST7
53239_at,CDK15
53242_at,GCSAM
53243_at,ANKRD44
53245_r_at,ORC6
53247_at,TRAPPC12
53252_at,PDXDC1
53255_at,RPL35A
53261_at,RUNX2
53262_at,SPRED1
53264_at,INTS2
53266_at,KIAA1429
53272_i_at,LEO1
53273_r_at,LEO1
53280_at,TRIM13
53291_at,PIEZO2
53295_at,DCAF16
53296_at,RBAK
53299_r_at,C8orf37
53306_at,GCM2
53307_at,CASR
53313_at,ELL2
53315_at,PPM1A
53317_at,ZNF34
53330_at,ACTC1
53342_at,IQCB1
53348_at,TBXAS1
53366_at,ALDOA
53368_at,RILPL1
53375_at,PAICS
53381_at,STAG3L3
53383_at,LINC00457
53396_at,DHX57
53400_at,PLA2G4E
53412_at,ERI3-IT1
53419_at,IQCH-AS1
53434_at,ZNF300P1
53446_at,LINC00603
53450_at,CCNJL
53451_at,WFDC3
53461_at,CD300LB
53465_at,ENTHD1
53467_at,SLC7A13
53469_r_at,CLDN16
53471_at,PLA2G4F
53478_r_at,FAM108B1
53483_at,GLDC
53505_r_at,HIVEP3
53507_r_at,SORBS3
53508_at,NEURL3
53509_at,FAM227B
53527_at,DPYS
53531_at,LINC00261
53548_at,FKBP15
53577_at,ZNF445
53579_at,MUCL1
53580_at,PIWIL4
53582_at,SYNPO2L
53584_at,MSL3
53586_at,PTGES3L
53589_at,ZNF93
53601_at,KRT27
53603_at,FOXP1
53605_at,NDUFAF4
53608_at,PDXK
53610_at,LRRC49
53613_at,COL27A1
53615_at,GRM7
53621_at,KLB
53622_at,KRTAP19-3
53623_at,RSBN1L-AS1
53627_at,ATP2B2
53628_at,ANKRD53
53630_at,NFE2L3
53631_at,MAP9
53632_at,SEMA5B
53633_at,FBXO32
53635_at,USP6NL-IT1
53637_at,UNC45B
53638_at,ZDHHC21
53639_at,ZNF385C
53645_at,FANCM
53650_s_at,FANCM
53657_r_at,CDC42SE2
53662_at,CLNK
53668_at,MPP4
53670_at,EAF1
53672_at,GALNT15
53674_at,NXPH3
53678_at,MBLAC2
53681_at,KCNH3
53683_at,TMEM132B
53685_at,ITPRIPL1
53687_at,SCN4B
53692_at,NCBP1
53694_at,CAMK4
53696_at,ODF2L
53699_at,ZSWIM5
53701_at,NFKBIE
53703_at,ZNF318
53707_g_at,ZNF318
53709_at,WIZ
53713_at,PPP2R2C
53716_at,FASTKD2
53724_at,MAGI2-AS3
53728_at,LOH12CR2
53731_at,ANGPT2
53733_at,HOMER2
53737_at,THSD7B
53744_at,BMPR2
53753_at,UBE2Z
53757_at,SLAMF1
53758_at,EIF5A2
53760_at,WDR5B
53764_at,CPNE8
53765_at,SERAC1
53768_at,LRFN5
53769_at,NDUFS1
53771_at,BMPR1B
53773_at,TNFSF13B
53780_s_at,COPS2
53783_r_at,COPS2
53794_r_at,ZNF552
53797_at,SLMAP
53804_at,BMP5
53807_at,TSC22D1
53808_at,FLI1-AS1
53812_at,GRIPAP1
53816_i_at,PPP2R1B
53817_at,METTL6
53834_at,FANCC
53840_at,LGSN
53842_r_at,ANKRD17
53843_f_at,ZNF826P
53845_r_at,ZNF826P
53866_s_at,ZNF569
53868_at,GK5
53875_at,NXNL2
53876_at,ZFP41
53878_at,TMX3
53891_at,LRGUK
53892_at,ALMS1-IT1
53893_at,VPS53
53903_at,ZNF93
53913_at,ITPR1
53917_at,ASCL4
53919_at,RAPGEF4-AS1
53921_at,LINC00475
53924_at,SERINC4
53936_at,FCGR1C///FCGR1B///FCGR1A
53959_at,LINC00334
53961_at,TRIM2
53969_at,ULK4P3///ULK4P2///ULK4P1
53978_at,C10orf67
53982_at,C12orf60
53985_at,KCNMB2
53988_at,PAG1
54007_at,ZWINT
54024_at,C9orf3
54050_at,OBFC1
54058_at,ZNF512B
54070_at,DZIP1
54072_at,CCDC7
54101_at,XCR1
54121_at,PKN2
54126_at,INTS6
54143_at,TEX36
54165_at,ARHGEF3-AS1
54167_at,ADPGK-AS1
54172_at,PLCH1-AS2
54178_at,NLRP2
54188_i_at,GSTT1
54190_at,CBX3
54193_at,SLC25A44
54197_at,ZNF615
54207_f_at,WAC
54211_at,NEK4
54213_r_at,MGAT1
54215_at,SAMD9
54216_at,C18orf21
54218_at,WNT2B
54221_at,UCKL1
54232_at,KIAA1033
54250_at,KIAA1462
54255_at,EPB41L5
54270_at,AMDHD2
54294_i_at,ARPC1B
54307_r_at,PPP2R1B
54311_at,TCF12
54318_at,SETD9
54320_at,CWH43
54322_at,TGFBRAP1
54324_at,PRICKLE1
54326_at,PRKAA2
54328_at,PAWR
54329_at,HCN4
54333_at,MZT1
54335_at,NSUN7
54340_at,LRRC66
54342_at,ZNF605
54349_at,PPP3CB
54353_at,GPR18
54364_at,C5orf34
54368_at,CR1L
54383_g_at,CR1///CR1L
54384_r_at,POLR3A
54386_s_at,RPL34
54388_at,MTHFD2
54389_at,ALKBH8
54390_at,SHISA6
54396_at,GSG1L
54397_at,ZBTB46
54403_at,CHRNA3
54404_r_at,GALNT10
54408_at,ZNF143
54410_at,SFR1
54415_at,EMC2
54417_at,FBXO3
54418_at,ADCY10P1
54426_r_at,IREB2
54429_at,MEX3B
54431_at,TRIM11
54435_r_at,JHDM1D
54437_at,PRDM5
54439_at,KLC2
54440_at,KCNQ1OT1
54442_at,SYCP2L
54444_at,C20orf96
54446_at,TMEM141
54450_at,KDM5C
54454_at,C1orf186
54456_at,SQSTM1
54468_g_at,PACRGL
54478_at,NOXRED1
54484_at,TOM1L2
54486_at,TMEM202
54488_at,MROH2B
54489_at,SPATC1
54490_at,MACROD2-AS1
54492_at,CCDC135
54496_f_at,TMEM210
54507_at,SLX4
54509_at,DNAJB1
54512_s_at,PAGE2B///PAGE2///PAGE5
54514_at,PMP2
54516_at,CATSPERG
54518_at,NDUFAF6
54519_r_at,ZBTB8OS
54532_at,MC1R
54536_at,ATAT1
54539_at,ADGB
54560_at,PRICKLE2
54576_at,IL17RD
54578_at,DHRSX
54582_at,OLFML2A
54584_at,PTPN2
54586_at,TLR5
54589_at,CROT
54596_at,AP5B1
54599_at,CCDC14
54601_at,ANGPTL3
54615_at,WFDC5
54619_at,IDI1
54621_at,TOR1AIP2
54624_at,SIPA1L1
54636_at,CENPO
54638_at,C20orf203
54639_at,GDNF-AS1
54640_at,MYT1L
54642_at,RBMS3
54645_at,CTNNA2
54655_at,RNF122
54659_at,MLH3
54669_at,ARSK
54672_f_at,ANKRD26
54676_at,SESTD1
54695_at,FITM2
54703_at,POP5
54709_at,ACBD6
54711_at,OR52K3P
54714_at,CKAP2L
54717_at,NOM1
54724_at,ZG16B
54725_at,CHPT1
54728_at,MIR3911
54729_at,PRKAR1A
54741_at,FCAR
54744_at,CREB5
54748_at,MYEOV
54772_at,MRPL11
54780_at,OSR2
