probeset,hgnc
50014,DCXR
50020,NXNL1
50025,TSPAN31
50026,FBLN5
50035,LMTK2
50037,KRTAP4-5
50039,OR6A2
50040,FBXO44
50041,FAM50B
50044,EED
50048,UBE2DNL
50050,CLCA1
50053,MPP5
50056,CHAT
50059,RDH14///NT5C1B-RDH14///NT5C1B
50066,NUDT15
50070,GJC3
50072,AMOTL1
50075,HLA-A
50079,RPL13AP6
50082,KCTD11
50086,GABRB3
50088,TAPT1-AS1
50091,SCLT1
50092,LINC00474
50093,KLK12
50095,ZNF274
50097,MAL
50100,ECT2L
50102,PRR14L
50110,ABCF2
50114,DGAT2L6
50121,RLN2
50128,ZNF521
50129,BMP5
50131,CYSLTR2
50132,ZNF501
50133,VWA5A
50138,CD2AP
50139,C16orf11
50148,RTEL1///RTEL1-TNFRSF6B
50152,OR52N1
50154,UGT2B10
50156,KBTBD8
50161,CPT1A
50162,CCDC67
50164,LHCGR
50167,CASR
50168,MT1M
50170,KCNE4
50176,MBD3
50180,OR4S1
50181,DLX6-AS1
50184,CD209
50193,SUN1
50195,PYCARD
50204,FOXO3
50242,NSD1
50253,PKHD1
50270,LINC00052
50273,RNF122
50279,MIB1
50280,PCDH1
50286,GORASP1
50292,ENSA
50301,BSX
50309,LYSMD4
50315,ATF3
50324,CREB1
50332,ALDH1A2
50333,RIMKLA
50341,TRPC1
50347,FGD5P1///FGD5
50348,PLEKHG1
50364,FXYD2
50368,GPC5
50369,ATPAF2
50372,MSMB
50377,SNX14///SYNCRIP
50397,ALKBH4
50398,IFIT5
50402,SMTN
50408,SLC39A2
50411,GALNT16
50427,PLCD4
50433,TLE4
50435,PPP4R4
50438,LTN1
50440,LY86
50441,PRSS30P
50450,TEX36
50452,C12orf4
50458,GOT2
50465,FAM173B
50471,SLC31A2
50484,SSX6
50487,TMIGD1
50494,ZNF768
50497,ZNF507
50504,BAZ2A
50519,SULT4A1
50537,RNH1
50538,OCIAD2
50541,STK40
50546,INHBB
50575,TFEC
50577,RNASEH1
50594,KLC1
50600,SCGB2A1
50601,WFIKKN2
50603,GLYATL3
50605,TNNI2
50609,ZNF280A
50619,KDM5B
50632,PMPCB
50670,MPZL3
50671,PPYR1
50672,MZB1
50673,HOXD8
50685,PLXND1
50692,ITPA
50706,KIAA1609
50707,FTSJ3
50711,REEP6
50722,CLDN10
50725,FAM221B
50735,CEACAM7
50736,DUS2L
50739,PIK3CG
50746,CDC27
50750,ITPK1
60008,CTSD
60010,DNLZ///CARD9
60014,SERTAD3
60017,LYRM1
60021,FAHD2A///FAHD2B
60022,CCDC176
60025,GPR161
60026,PVRL2
60035,BPI
60037,MARK1
60039,FERMT1
60040,EYA3
60041,MAML1///LTC4S
60044,ADAM18
60047,NPR3
60050,CALHM2///CALHM1
60056,PAM
60059,OTUD1
60064,IMMP2L
60068,ZNF674-AS1
60070,CHST12
60072,COLQ
60075,CUX2
60079,TMEM131
60082,SUPT20H
60088,TAF9
60091,SURF2
60092,POLR2H
60100,HLA-DRA
60102,CACNA1C
60110,HEATR5A
60113,ARMC4
60114,TOR4A
60121,CCDC50
60128,CIB1
60132,SCGB2A2
60138,IGDCC3
60139,TRIM69
60142,C21orf62
60148,SMYD4
60152,PTGER3
60161,GALNT3
60164,FOXI1
60167,ACSM3
60168,NKAPP1
60170,SARNP
60176,ABHD5
60180,SPTA1
60181,BCAT1
60193,GPR161
60195,GNB2L1
60204,HNRNPUL1
60239,NR2E3
60242,CNIH4
60253,TRIM23
60273,LDB3
60278,FAM160A1
60279,CCR3
60280,KRT12
60288,CACNB1
60292,CLIP2
60300,GNMT
60309,CDHR1
60315,ZBTB7A
60333,INHBA
60338,SAE1
60347,RPL36AP6
60348,RAB11FIP5
60358,CENPF
60364,RPP40
60368,UBE2A
60369,OSR2
60372,CTC1
60377,MRM1
60390,TBC1D12
