probeset,hgnc
41883_at,BCL2L13
41901_at,KRT28
41910_at,PYGL
41920_at,SGIP1
41922_at,SH3YL1
41923_at,UBE2W
41927_at,GJC1
41928_at,LCE1C
41929_at,PRKAA2
41932_at,TRIM64///TRIM64B
41933_at,ALDH1L2
41934_at,HCAR1
41940_at,TTC23
41941_r_at,STX7
41943_at,PCDH1
41946_at,SFXN3
41947_at,DCN
41950_at,LGALS3
41960_at,DRP2
41969_at,PIK3CA
41970_at,UGGT1
41971_at,PSTPIP2
41974_at,USP44
41978_at,NR2F2-AS1
41979_r_at,ZC3H12C
41982_at,LINC00555
41992_at,BLZF1
41994_at,NEUROD4
41998_at,ITIH5
42001_at,C3P1
42003_at,CWC22
42008_r_at,ZNF257
42010_at,RASA2
42016_at,MYO9A
42027_at,ASIC4
42033_at,KRTAP9-4
42034_at,CNR2
42035_at,C3orf67
42041_at,KATNAL2
42042_at,PLEKHG2
42050_at,CALML4
42053_at,TRIM25
42054_at,VPS53
42055_at,CARD8
42056_at,ZFAND4
42058_at,ANXA2
42065_at,MBOAT2
42068_at,TREML3P
42070_i_at,GABRA2
42071_r_at,GABRA2
42073_at,ZIC5
42074_at,FAM172A
42076_at,CSNK2A2
42078_at,PTPN4
42081_at,ARL5A
42082_at,UBE2E2
42088_at,EPB41L5
42090_at,MROH7
42091_at,FLYWCH1
42093_at,ELMOD2
42097_at,NEK5
42102_r_at,TEX12
42107_at,TANC2
42109_at,BRIP1
42114_at,TRBV25OR9-2
42117_at,EGFLAM-AS2
42118_at,PRSS38
42122_at,PLCB1
42123_at,CTAGE1
42129_at,BEAN1
42131_at,BCL2L14
42136_at,FER1L6-AS2
42139_at,KRTAP5-8
42142_at,KCNQ5-IT1
42148_at,LRRC41
42155_at,OPCML
42161_at,PLB1
42164_at,SLCO4C1
42165_at,HSD17B3
42166_at,C10orf112
42168_at,MON2
42172_at,VAV3-AS1
42177_at,KIAA2026
42184_at,CPA5
42186_at,PCCA-AS1
42190_at,TMEM247
42193_r_at,NSD1
42198_at,CEP89
42200_at,ADAMTS18
42204_at,TNC
42211_at,SLAMF9
42213_at,WNK3
42218_at,FAM178B
42222_at,WDR31
42225_at,FGF16
42227_at,C7orf72
42235_at,SVOPL
42238_at,TMEM74
42240_at,SERPINA12
42241_at,MEIOB
42244_at,ADAM22
