probeset,hgnc
170,SVIP///RBM20///PGM2L1///DSCR6///MPST///TFDP2///SLC35E3///EMP2///HMX3///FBXO45///SLC39A4///CNPY2///CCNB1IP1///SGTB///ZKSCAN1///KCTD3///SNF8///DCP2///LAMA5///SYAP1///ZNF492///ATP6V1A///ZNF766///GIGYF2///SLC13A5///FAM53C///ZSCAN12///RPL7L1///COX6B2///BCO2///TNK2///KCNRG///NDUFS2///MRPL30///C2orf15///PALM2///MYO3B///EGFEM1P///KIAA1429///KIAA0825///ATP1A4///ADAR///RREB1///TMX3///RABEPK///ZFAND4///VENTXP4///KRTAP9-6///C8orf59///PTGER3///MGLL///IBA57///SNRNP35///LYRM7///FN3K///ZNF652///MAK///DDX6///CORO7///CENPI///SLC35B4///MXRA7///TMEM14B///HAUS2///QTRTD1///TRIM46///NUP93///SLC25A51///LDLR///MATR3///CASP6///PDSS2///FLT1///LETMD1///ZP3///ZFP30///ZNF585B///SUDS3///SLC7A11///RNF7///TBL1Y///NDUFAF7///GABPB2///SYT12///THEM5///MLXIPL///SLC35A3///NT5DC3///STAU2///EMC4///CLN3///FAM153B///ALDH6A1///C17orf99///PRRC2C///ADAL///ANKRD44///SAG///TRAF3IP2///ZBTB24///SLX4///ISCA2///BACE1///C1orf174///EIF2AK2///ALOX12P2///LAMP3///NDRG2///ERO1LB///UBE2D3///EXOSC1///DBF4B///ATG12///CCDC66///OCIAD2///C12orf60///HEXDC///LIN28A///EIF4B///IFNLR1///RABGAP1L///SFMBT2///TARDBP///SLC4A1AP///ZFYVE21///PSTPIP2///MYOZ3///ZNF397///RBM7///FMO9P///C1orf186///C11orf57///FHIT///RPGRIP1L///ARHGAP29///KHDC1///C4orf40///DPF2///EPC1///PGAM5///SH3GLB1///UGGT1///PLIN2///NOX5///CS///KPNA6///NUBPL///POLB///ANKZF1///DCAF16///SLC1A4///MSL1///LAMP2///MLXIP///PHAX///CTSB///AP1G1///RSRC1///WFDC1///ABCC4///MOB3A///DDX52///FAM161B///GNL2///PRR3///STARD9///METTL2B///NONO///EXTL3///ATF6B///PTK2///LRRC27
171,C1orf101
173,PLA2G16
177,BANF1///BANF1P3
178,COPS2
179,SCRG1
180,ALOX15
181,SLC28A1
182,MBIP
183,PPAPDC1B
184,TMBIM4
185,PREPL///SLC3A1
186,SDS
187,RNF220
188,GDPD2
189,EZH2
190,FAM212B
191,EDEM3
192,CPT1A
193,DNAJC17
194,ABHD16A
195,EPHA6
196,NRIP2
197,PTPRCAP
198,IGHV1-17
199,OR13C2///OR13C9
201,MLLT1
202,MFSD4
203,CYP4F3///CYP4F2
204,CSNK1G1
206,BRD7///BRD7P3///BRD7P4///BRD7P5
207,MON1A
208,MCRS1
209,KCNMA1
210,SLC2A13
211,PRSS35
212,ABCA10
213,PPM1B
214,UBQLN1
215,KLHL31
216,FOXP2
217,SIGLEC8///SIGLEC12
218,CCR2
219,GPR75-ASB3
220,GOSR1
221,SLC25A15
222,C6orf25
223,PTPN23
226,VPS13B///ADAMTSL3///MIPOL1///FAM228B
228,ZNF324B
230,PCLO
231,HBE1
232,ROR2
233,CYP21A1P///CYP21A2
234,APBB1
235,SPSB4
236,ZNF692
237,DAPK3
238,IQUB
239,SIGLEC11///SIGLEC16
240,CCNO
241,NYAP2
242,KHK///CGREF1
243,NFE2
244,EMC4
245,TMEM87A
246,CAT
247,SLC35F6
248,GALK1
249,CAB39L
250,C19orf77
251,RAB7A
252,TRIO
253,MRGPRG-AS1
257,GOLGA8M///GOLGA8N///GOLGA8O///GOLGA8Q///GOLGA8R///GOLGA8I///GOLGA8H///GOLGA8T///GOLGA8J///GOLGA8UP///GOLGA6L5///GOLGA6L3///GOLGA6L4///GOLGA6L9///GOLGA6L10///GOLGA8B///GOLGA8A///GOLGA8EP///GOLGA8DP///GOLGA8CP///MTPAP///GOLGA8G///GOLGA8F///GOLGA8S///GOLGA6A///GOLGA6B///GOLGA6D///GOLGA6C
259,OR6N2
260,COL4A3
261,ORC6///METTL21A///HLA-DQA1///C5orf45///TSSC2///GOSR1///C2CD3///ACOT11///C11orf72///CFLAR///NEK5
263,MRPS18AP1///ZNF589
264,SPTBN4
265,MCU
267,HMGCLL1
268,PPAP2C
271,GUCY2D
272,MPST
273,GABRE
275,ZAP70
276,KPNB1
277,DRP2
279,FRYL
280,NSUN2
281,DDX54///CCDC42B
282,ORAI1
283,ADAMTSL2
285,CHMP6
286,BTF3P10///BTF3///BTF3P13
287,TRIM69
288,IKBKGP1///IKBKG
290,ZNF202
291,ADAMTSL3
292,TMEM182
293,PLK1
294,AIMP1
295,C21orf2
296,UEVLD
297,ECM1
298,GRHPR
299,SEC22A
300,DGCR8
301,R3HDML
302,MLANA
