probeset,hgnc
7893137,PRPF8
7893138,HSP90AB3P///HSP90AB1
7893139,EIF4G2
7893141,HNRNPK
7893148,ANAPC5
7893153,PRPF8
7893158,SART1
7893160,HNRNPM
7893164,HNRNPA1P6///HNRNPA1P7///HNRNPA1P30///HNRNPA1P20///HNRNPA1P24///HNRNPA1P11///HNRNPA1P32///HNRNPA1P14///HNRNPA1P4///HNRNPA1P10///HNRNPA1P15///HNRNPA1P12///HNRNPA1L2///HNRNPA1///HNRNPA1P26///HNRNPA1P8///HNRNPA1P28
7893166,SNX32
7893169,KAT7
7893170,ZNF259
7893173,CAPNS1
7893181,ABCF1
7893183,RHOA-IT1
7893184,RPL27
7893187,STARD7
7893191,HSP90AB1
7893192,ABCF1
7893194,RPL11
7893196,HNRPCP///HNRNPC
7893197,KAT7
7893199,KARS
7893200,TMED2
7893201,RPL30
7893202,YY1
7893205,SNORD97///EIF4G2
7893206,TARDBP
7893208,RPL9P28///RPL9P9///RPL9P8///RPL9P32///RPL9P7///RPL9
7893215,PRPF8
7893216,SNORD18A///SNORD16///RPL4
7893217,TCEB2P2///TCEB2P1///TCEB2
7893218,HNRNPKP4///HNRNPK
7893220,USP22
7893226,CBX3
7893229,SART1
7893231,LAMP3
7893232,SART1
7893235,SEPT2
7893238,SNORA53///SLC25A3
7893239,PRPF8
7893240,KAT7
7893241,HNRNPC
7893244,HSP90AB3P///HSP90AB1
7893248,KARS
7893249,EIF3D
7893250,NBEAL1
7893254,KAT7
7893255,SEPT2
7893256,KXD1
7893257,SMNDC1
7893258,ILF2
7893259,RPL21P28///RPL21P1///RPL21///RPL21P8///RPL21P119///RPL21P11///RPL21P2///RPL21P75///RPL21P120
7893260,SEPT2
7893261,PRPF8
7893262,SLC25A3
7893264,HSP90AB3P///HSP90AB1
7893266,C11orf58
7893268,ZNF259
7893270,CANX
7893271,PRPF8
7893272,CANX
7893273,SEPT2
7893277,EIF4G2
7893278,SART3
7893281,UBE3C
7893288,IK
7893289,NOP2
7893290,SART3
7893291,SNX32
7893294,CANX
7893297,C22orf28
7893298,SNORD14B///RPS13
7893305,RPL4P2///RPL4P3///RPL4P5///RPL4P4///RPL4
7893308,PRPF8
7893309,NBEAL1
7893313,CBX3P5///CBX3P9///CBX3///CBX3P1
7893315,SART3
7893316,HSP90AB1
7893320,FNTA
7893325,HNRNPC
7893326,CANX
7893328,SART3
7893333,PSMB2
7893334,HERC5
7893336,CANX
7893339,GATC
7893340,RPL24P4///RPL24///RPL24P2
7893343,USP22
7893344,RPL35P1///RPL35P5///RPL35
7893345,CANX
7893346,ANAPC5
7893349,SMNDC1
7893354,NONO
7893356,HNRNPM
7893357,NONO
7893359,ZNF259
7893362,KARS
7893363,CCDC84
7893364,PRPF8
7893371,SEPT2
7893374,SRP14
7893378,KARS
7893382,NPM1///CLEC2D
7893385,RPL14P1///RPL14
7893386,SNORD18C///RPL4P5///RPL4P4///RPL4
7893390,SEPT2
7893392,RPS27A
7893393,HNRNPD
7893394,C11orf58
7893395,GUK1
7893399,NONO
7893407,DDX5
7893413,SART1
7893419,ILF2
7893420,NPM1P6///NPM1
7893422,EIF4G2
7893424,RHOA
7893432,USP22
7893436,HNRNPM
7893439,HNRNPM
7893441,ILF2P1///ILF2
7893442,FNTA
7893443,HNRNPM
7893447,TCEB2
7893449,TARDBP
7893450,SART3
7893451,CBX3
7893453,SEPT2
7893454,TCEB2P2///TCEB2
7893455,RPS27A
7893458,ILF2
7893460,HNRNPC///HNRNPCL1
7893461,C11orf58
7893463,EIF4G2
7893466,EIF4G2
7893467,USP22
7893474,IK
7893475,SART3
7893476,ABCF1
7893477,KARS
7893481,TCEB2
7893485,SNRNP200
7893486,RPL28
7893487,TARDBP
7893493,PRPF8
7893494,PRPF8
7893496,EIF3F
7893497,ZNF146
7893500,YY1
7893501,ANAPC5
7893504,SLC39A9
7893506,ZNF259
7893509,CANX
7893512,KARS
7893516,DDX5
7893517,SART1
7893518,SMNDC1
7893519,CANX
7893523,USP22
7893528,RNPS1P1///RNPS1
7893530,DDX5
7893534,PRPF8
7893538,KAT7
7893539,CAPNS1
7893543,EIF4G2
7893544,CAPNS1
7893547,HSP90AB1
7893548,SART3
7893549,KARS
7893550,IK
7893551,PRPF8
7893552,FNTA
7893554,NONO
7893558,ATP6V0B
7893559,SNORD18A///SNORD16///RPL4P5///RPL4P4///RPL4
7893561,MIR3655///IK
7893564,RPS25
7893571,NPM1///NPM1P9///CLEC2D
7893572,NONO
7893573,RPS13///PIK3C2A
7893574,STARD7
7893575,CBX3
7893579,EIF3D
7893582,EIF4G2
7893587,SART1
7893591,SNORD117///ATP6V1G2-DDX39B///DDX39B
7893592,ARF1
7893593,ANAPC5
7893594,USP22
7893597,SART3
7893600,RPS5
7893602,EIF4G2
7893603,FAUP1///FAU
7893604,SMNDC1
7893608,NBEAL1
7893609,MIR3620///ARF1
7893619,C22orf28
7893628,STARD7
7893630,ABCF1
7893632,CANX
7893634,CANX
7893639,RNPS1P1///RNPS1
7893640,KXD1
7893641,CANX
7893642,CANX
7893647,RHOA
7893648,NARS
7893649,HNRNPD
7893650,HSP90AB1
7893652,ARF3
7893656,CANX
7893657,NPM1
7893659,SART3
