probeset,hgnc
12,ATP11B
16,ITPRIPL2
31,MEGF11
32,GOLGA3
43,SYAP1
44,SLC7A1
61,SLC22A23///PSMG4
69,SET///SETP14///SETP18///SETP8///SETP22///SETP20///SETP6///SETP7///SETP4///SETP2///SETP17
70,DESI1
71,SP5
72,ICA1
97,SAMD9L
99,UBE2K
108,C1orf115
109,HSPD1///HSPD1P1///HSPD1P10///HSPD1P5///HSPD1P8///HSPD1P7///HSPD1P6///HSPD1P2///HSPD1P3///HSPD1P9
110,RPL6P12///RPL6P27///RPL6///RPL6P25
111,SLC8A3
122,FAM134A
128,ERBB2IP
129,TUT1
130,SERPINB5
133,ASPA
134,CYP2E1
138,DNTTIP2
140,ARMC12
142,GATAD2A
143,ZYG11B
144,RPL18///RPL18P13
145,HLA-DRB7///HLA-DRB1///HLA-DRB3///HLA-DRB8///HLA-DRB2///HLA-DRB6///HLA-DRB5///HLA-DRB4
150,GCSAML
152,WDR96
153,MASP1
154,CNOT8
159,ZNF300
181,FASLG
192,WAPAL
193,PANX1
194,PAQR4
195,HSD11B2
196,NEB
197,SCYL2
198,FER1L4
199,FAM108A6P///FAM108A5P///FAM108A1///FAM108A2///FAM108A7P///FAM108A4P///FAM108A3P///FAM108A8P///FAM108A9P
203,FFAR4
219,RNF121
220,C6orf62///ACOT13
221,SHISA9
222,NFKBIB
225,ENAH
227,TNFAIP8L3
229,NR1H2
236,MAP4K5
242,AASDHPPT
244,TMEM33
245,SHOX2
246,HCFC1
265,GGA1
269,DYNLT3///DYNLT3P2
273,POLE2
276,ACVRL1
277,RPL19P21///RPL19P12
278,LRRC4
279,CCND1
280,SAR1B
281,MAGEF1
282,CCDC94
283,BRCA2
290,CCDC92
291,DIDO1
292,RTN4RL1
293,TTTY9B///TTTY9A///OFD1P6Y
309,NFKB2
311,RGAG4
312,FRMD8P1///FRMD8
313,ALDH4A1
316,TMEM183A
317,NOL4
318,FBXO3
319,FAM230A
320,MUC3A
321,ZNHIT2
322,OR2V2
323,RXRA
353,CCDC23
355,ZFYVE19
359,NUDC
360,HLA-DRB1///HLA-DRB2///HLA-DRB5///HLA-DRB3///HLA-DRB6///HLA-DRB8///HLA-DRB4///HLA-DRB7
364,ITGA2B
370,TNNT2
371,CAV1
373,MFN1
375,ATRNL1
376,CLK1
377,MMP2
382,PPWD1
383,BRD8
384,LLPH
411,PRKAA2
435,AQP2
436,RWDD2A
437,METTL23
439,GH2
440,MED28
441,PLXDC2
442,BTF3P11///BTF3P10///BTF3P9///BTF3P2
443,RTFDC1
444,LNX2
447,GOLGA8A///GOLGA8B///GOLGA8EP///GOLGA8CP///GOLGA8G///GOLGA8F
452,KIRREL2
453,PML
456,WFDC12
457,DDX3X
458,GJB7
463,RNF11
464,KCTD3
465,RFPL1-AS1
466,SGCZ
467,RNASE7
469,RALY
471,DOT1L
480,L3MBTL4
482,XBP1
484,CDC42BPG
486,SCUBE2
489,MRPL43
490,KIAA0141
491,ZNF770
492,HPX
493,TWSG1
494,TRIM4
495,ZNF74
496,LAMA1
499,ZNF487P
519,CASKIN2
520,DENND4B
521,NECAP2
522,ZBTB11
523,C1orf222
524,NCOA3
525,KRT75
526,DHRSX
527,RUVBL1
529,FAM211B
531,CATSPERB
532,NFKBIB
541,DNAJC3
544,TMEM230
545,PRKCE
573,LIN7B///C19orf73
574,TARBP2
575,ZNF181
576,MBTPS1
579,DNAJB6
580,DPP6
582,WDR26
583,LHFPL1
584,TP53I11
585,BCAP31
586,MAGI1
607,FASLG
612,CENPBD1
613,PTGIS
615,ACPT
616,TUBGCP5
618,KIT
619,FTH1P12///FTH1P8///FTH1///BEST1///FTH1P11///FTH1P7///FTH1P16///FTH1P5///FTH1P10///FTH1P23///FTH1P3///FTH1P2
620,THSD4
621,ASB4
622,ZKSCAN5
623,LRRC37A5P
624,ITGAE
630,TOR2A
633,SLC50A1
634,PAX8
635,LCOR
636,CHD2
637,LRRC4C
638,CAPS
640,TCP1///ACAT2///TCP1P1
641,ZNF383
643,MTA3
649,TEX33
650,P2RX4
665,RC3H2
666,MARCH4
667,KCNE1L
668,PMPCA
669,MPEG1
670,A4GNT
689,CCT6P2///CCT6P1///CCT6P3///CCT6P4///CCT6A
691,ARCN1
692,CXCR2P1///CXCR2
698,PLN
699,ARID5B
700,IGHV4-61///IGHV4-59///IGHV4-4///IGHV4OR15-8///IGHV4-39///IGHV4-34///IGHV4-28
701,TTC21B
702,CCSAP
703,OAZ1
704,STRA13
705,LRRN1
706,PTRHD1
708,GEMIN5
709,ESYT1
711,EBNA1BP2
712,DRD3
713,MET
714,MARCH3
715,GARNL3
716,CTBP1-AS1
717,SNAPC3
721,LRP11
722,AGPAT2
724,DNAJC5
725,RNF216P1///XKR8
726,RPS4XP17
727,RTP1
728,CATSPERD
736,CLASP2
738,HS3ST1
739,FAM115D///FAM115C
741,S100A7A
742,FGFR2
744,ZNF847P
745,MKLN1
752,SUSD5
753,FZD3
754,SRPR
755,TRMT1
756,IL10RA
757,TMEM128
759,FBXO28
772,C19orf55
773,HMGN1///HMGN1P38///ACTN1///CPED1
774,PCBP1-AS1
776,YAF2
777,DDX17
778,ZNF789
779,C17orf49///RNASEK-C17orf49
780,PCDHB10
781,RAF1
782,PRKY///PRKX
791,ZNF598
792,TF
793,THAP5
794,UCHL5
795,PAF1
804,UGT3A2
806,FEZ2
807,RTP3
808,SART3
810,IFIT2
811,SAFB2
812,RPL7L1
813,TRIM10
814,SLC15A1
844,RAB42
857,ZNF467
858,MARVELD3
860,OR7E62P///OR7E22P///OR7E10P///OR7E155P///OR7E100P///OR7E19P///OR7E2P
861,FAM227B///GALK2
862,ISCA1
863,CNTNAP2
864,FAM170A
867,OR7C2
869,ZNF726///ZNF254///ZNF91///ZNF98///ZNF253///ZNF721///ZNF826P///ZNF729///ZNF429///ZNF431///ZNF714///ZNF85///ZNF680///ZNF486///ZNF117///ZNF678///ZNF732///ZNF208///ZNF724P///ZNF493///ZNF107///ZNF761///ZNF813///ZNF765///ZNF525///ZNF845///ZNF138///ZNF702P///ZNF860///ZNF665///ZNF347///ZNF600///ZNF611///ZNF701///ZNF808///ZNF578///ZNF841///ZNF736///ZNF519
870,ANKRD34B
871,MACF1
872,UBE2B
873,C12orf42
875,TMEM139
876,ING5
877,POGK
878,KRT80
879,PLK4
881,HIRIP3
882,SMIM6
883,COX4I2
884,FGF2
886,APOD
887,TTLL3///ARPC4-TTLL3
888,PITPNA
897,NDUFV2
899,ZNF512
900,SCLY
901,LCP2
902,SRP9
904,GPR27
905,GPAA1///GPAA1P1
906,MARCH6
907,HIVEP2
908,SOAT1
909,UPK1A
910,HMGB1P25
911,RNF112
912,LCMT1
913,DGAT2
917,TTC9C
918,C6orf58
920,EIF3L
921,GLRA2
922,TRIM29
923,IL6ST
941,EIF2AK4
946,SLC7A2
950,CCDC113
951,PSTPIP1
952,TSSC1
953,YWHAZ
959,LRRC40
960,GJB1
965,NETO1
966,TPM4
967,PPIAP26///PPIAL4G
968,HRC
