probeset,hgnc
D14446_at,FGL1
D14497_at,MAP3K8
D14520_at,KLF5
D14530_at,RPS23P8///RPS23
D14533_at,XPA
D14657_at,KIAA0101
D14658_at,SPCS2
D14659_at,EMC2
D14660_at,MRPL19
D14661_at,WTAP
D14662_at,PRDX6
D14663_at,PSMD6
D14664_at,CD302
D14678_at,KIFC1
D14686_at,AMT
D14689_at,NUP214
D14694_at,PTDSS1
D14695_at,HERPUD1
D14710_at,ATP5A1
D14811_at,MAD2L1BP
D14812_at,MORF4L2
D14822_at,RUNX1T1
D14823_at,RUNX1T1
D14826_s_at,CREM
D14827_at,GLI2
D14838_at,FGF9
D14874_at,ADM
D14878_at,CDC123
D14889_at,RAB33A
D15049_at,PTPRH
D15050_at,SIK1
D15057_at,DAD1
D16105_at,LTK
D16181_at,PMP2
D16217_at,CAST
D16227_at,HPCAL1
D16294_at,ACAA2
D16350_at,ACSM3
D16469_at,ATP6AP1
D16480_at,HADHA
D16481_at,HADHB
D16532_at,VLDLR
D16562_at,ATP5C1
D16581_at,NUDT1
D16583_at,HDC
D16593_at,HPCA
D16611_s_at,CPOX
D16626_at,HAL
D16688_s_at,MLLT3
D16815_at,NR1D2
D16827_s_at,SSTR5
D17357_at,INHBA
D17390_at,ADAM11
D17391_at,COL4A4
D17400_at,PTS
D17408_s_at,CNN1
D17427_at,DSC3
D17461_at,GULOP
D17516_at,ADCYAP1R1
D17525_at,MASP1
D17532_at,DDX6
D17547_at,DCT
D17570_s_at,ZPBP
D17716_at,MGAT5
D17793_at,AKR1C3
D21063_at,MCM2
D21089_at,XPC
D21090_at,RAD23B
D21163_at,EFTUD2
D21205_at,TRIM25
D21235_at,RAD23A
D21239_at,RAPGEF1
D21241_xpt1_s_at,CYP19A1
D21255_at,CDH11
D21260_at,CLTC
D21261_at,TAGLN2P1///TAGLN2
D21262_at,NOLC1
D21267_at,SNAP25
D21337_at,COL4A6
D21851_at,LARS2
D21852_at,R3HDM1
D21853_at,EIF4A3
D21878_at,BST1
D23660_at,RPL4P4///RPL4
D23662_at,NEDD8
D23673_at,MPRIP
D25215_at,HERC3
D25216_at,LRRC14
D25217_at,MLC1
D25218_at,RRS1
D25248_at,AFAP1
D25274_at,RAC1
D25278_at,IQCB1
D25303_at,ITGA9
D25304_at,ARHGEF6
D25328_at,PFKP
D25538_at,ADCY7
D25539_at,KIAA0040
D25547_at,PCMT1
D26018_at,POLD3
D26067_at,TMEM41B
D26068_at,EIF4H
D26069_at,ACAP2
D26070_at,ITPR1
D26129_at,RNASE1
D26135_at,DGKG
D26155_s_at,SMARCA2
D26156_s_at,SMARCA4
D26308_at,BLVRB
D26350_at,ITPR2
D26361_at,KIF14
D26362_at,BRD3
D26443_at,SLC1A3
D26535_s_at,DLST
D26579_at,ADAM8
D26598_at,PSMB3
D26599_at,PSMB2
D26600_at,PSMB4
D28114_at,MOBP
D28118_at,VEZF1P1///VEZF1
D28124_at,NBL1
D28137_at,BST2
D28235_s_at,PTGS2
D28364_at,ANXA2
D28383_at,ATP5F1
D28416_at,ESD
D28423_at,SRSF3
D28473_s_at,IARS
D28476_at,TRIP12
D28483_at,RBMS2P1///RBMS2
D28532_at,SLC17A1
D28539_s_at,GRM5
D28588_at,SP2
D28589_at,SNORA26///DANCR
D28791_at,PIGA
D28915_at,IFI44
D29012_at,PSMB6
D29013_at,POLB
D29640_s_at,IQGAP1
D29641_at,SKIV2L2
D29642_at,ARHGAP25
D29643_at,DDOST
D29675_at,NOS2
D29675_s_at,NOS2
D29677_at,HELZ
D29805_at,B4GALT1
D29810_at,DCBLD2
D29833_at,SMR3B
D29954_at,NCAPD3
D29956_at,USP8
D29958_at,EXOSC7
D29992_at,TFPI2
D30036_at,PITPNA
D30037_at,PITPNB
D30655_at,EIF4A2
D30715_xpt5_s_at,REG3A
D30742_at,CAMK4
D30755_at,TNIP1
D30756_at,NBR1
D30758_at,ACAP1
D31628_s_at,HPD
D31716_at,KLF9
D31762_at,TRAM2
D31763_at,ZNF33A
D31764_at,SNX17
D31765_at,POP1
D31766_at,GNPDA1
D31767_at,DAZAP2
D31784_at,CDH6
D31797_at,CD40LG
D31815_at,RGN
D31833_s_at,AVPR1B
D31840_s_at,ATN1
D31846_at,AQP2
D31883_at,ABLIM1
D31884_at,JOSD1
D31885_at,ARL6IP1
D31886_at,RAB3GAP1
D31887_at,SLC39A14
D31888_at,RCOR1
D31889_at,PSMD5
D31890_at,KARS
D31891_at,SETDB1
D31897_at,DOC2A
D32002_s_at,NCBP1
D32050_at,AARS
D32202_at,ADRA1A
D37781_s_at,PTPRJ
D37931_at,RNASE4
D37965_at,PDGFRL
D37984_s_at,RECQL
D38024_at,DUX4L8///DUX4L10///DUX4L11///DUX4L12///DUX4L13///DUX4L14///DUX4L15///DUX4L7///DUX4L6///DUX4
D38037_at,MFSD2B///FKBP1B
D38047_at,PSMD8
D38048_at,PSMB7
D38073_at,MCM3
D38076_at,RANBP1
D38081_at,TBXA2R
D38122_at,FASLG
D38128_at,PTGIR
D38145_at,PTGIS
D38163_s_at,COL19A1
D38251_s_at,POLR2E
D38293_at,AP3M2
D38305_at,TOB1
D38437_f_at,PMS2P3
D38449_at,GPR176
D38491_at,RBM34///ARID4B
D38496_s_at,LZTR1
D38498_f_at,PMS2P3
D38502_at,PMS2P1///PMS2P4///PMS2P5///PMS2P10///PMS2P2///PMS2P3///DTX2P1///DTX2P1-UPK3BP1-PMS2P11
D38503_at,GABRA2
D38521_at,PSME4
D38522_at,SYT11
D38524_at,NT5C2
D38535_at,ITIH4///MUSTN1
D38537_s_at,PPOX
D38548_at,CUL7
D38549_at,CYFIP1
D38550_at,E2F3
D38551_at,RAD21
D38552_at,PPWD1
D38553_at,NCAPH
D38555_at,SEC24C
D38583_at,S100A11
D38751_at,KIF22
D42038_at,KIAA0087
D42039_at,MESDC2
D42040_s_at,BRD2
D42041_at,GANAB
D42043_at,RFTN1
D42044_at,EMC1
D42045_at,DCLRE1A
D42046_at,DNA2
D42047_at,GPD1L
D42053_at,MBTPS1
D42054_at,CEP57
D42055_at,NEDD4
D42063_at,RANBP2
D42072_at,NF1
D42073_at,RCN1
D42084_at,METAP1
D42085_at,NUP93
D42087_at,RAB21
D42108_at,PLCL1
D42123_at,CRIP2
D42138_at,PIGB
D43636_at,SNRK
D43638_at,RUNX1T1
D43642_at,VPS72
D43682_s_at,ACADVL
D43767_at,CCL17
D43768_at,XCL1
D43772_at,GRB7
D43947_at,KIAA0100
D43948_at,CKAP5
D43949_at,FTSJD2
D43950_at,CCT5
D43951_at,PUM1
D43968_at,RUNX1
D44466_at,PSMD1
D45132_at,PRDM2
D45248_at,PSME2
D45370_at,AGAP11///C10orf116
D45371_at,ADIPOQ
D45399_at,PDE6H
D45906_at,LIMK2
D45917_s_at,TIMP3
D49354_s_at,PPFIA1
D49357_at,MAT1A
D49372_s_at,CCL11
D49387_at,PTGR1
D49394_at,HTR3A
D49396_at,PRDX3
D49400_at,ATP6V1F
D49410_at,IL3RA
D49487_s_at,LEP
D49488_at,TTPA
D49489_at,PDIA6
D49490_at,PDIA5
D49493_at,GDF10
D49677_at,ZRSR2
D49738_at,TBCB
D49742_at,HABP2
D49817_at,PFKFB3
D49818_at,PFKFB4
D49824_s_at,HLA-B
D49950_at,IL18
D49958_at,GPM6A
D50063_at,PSMD7
D50310_at,CCNI
D50312_at,KCNJ8
D50370_at,NAP1L3
D50402_at,SLC11A1
D50405_at,HDAC1
D50477_s_at,MMP16
D50487_at,DHX8
D50495_at,TCEA2
D50525_at,TUG1
D50532_at,CLEC10A
D50550_at,LLGL1
D50582_at,KCNJ11
D50640_at,PDE3B
D50645_at,SDF2
D50663_at,DYNLT1
D50678_at,LRP8
D50683_at,TGFBR2
D50692_at,MYCBP///GJA9
D50810_at,LNPEP
D50840_at,MIR4668///UGCG
D50855_s_at,CASR
D50857_at,DOCK1
D50863_at,TESK1
D50911_at,VGLL4
D50912_at,RBM10
D50913_at,PMPCA
D50914_at,BOP1
D50916_at,UBE4A
D50917_at,SERTAD2
D50918_at,SEPT6
D50919_at,TRIM14
D50920_at,MED24
D50922_at,KEAP1
D50923_at,URB2
D50925_at,PASK
D50926_at,MORC3
D50927_at,TLK1
D50928_at,SAFB2
D50930_at,FAM53B
D50931_at,KIAA0141
D55654_at,MDH1
